IndustryCode,IndustryName,ComplianceDomainCode,ComplianceDomain,CommonRegulatorBodyTypes,TypicalCoverage,PrimarySourceIDs,PrimarySourceURLs,ImplementationPriority,DataverseMappingNote
3,Broadcasting Printing and Publishing,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
3,Broadcasting Printing and Publishing,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
4,Brokers,FIN,"Banking, securities, payments & AML",Central bank; securities commission; FIU; payments regulator,"Financial licensing, AML/KYC, market conduct",SRC-IOSCO; SRC-BIS-CENTRALBANKS,https://www.iosco.org/v2/about/?subsection=membership | https://www.bis.org/cbanks.htm,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
4,Brokers,COMP,Competition / antitrust,Competition authority; antitrust agency,"Merger control, cartels, abuse of dominance",SRC-ICN,https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
4,Brokers,PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification",SRC-GPA; SRC-IAPP-PRIVACY-DIR; SRC-EDPB,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/ | https://iapp.org/resources/global-privacy-directory | https://www.edpb.europa.eu/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
4,Brokers,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
4,Brokers,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
4,Brokers,PROC,Government procurement & grants,Procurement authority; treasury; anti-corruption body,"Bid eligibility, contract clauses, debarment",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
5,Building Supply Retail,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
5,Building Supply Retail,REAL,"Real estate, construction & zoning",Land registry; housing ministry; building authority,"Licenses, zoning, property, construction codes",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
5,Building Supply Retail,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
5,Building Supply Retail,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
5,Building Supply Retail,ENV,"Environment, climate & natural resources",Environmental protection agency; natural resources ministry,"Environmental permits, emissions, water, waste, mining",SRC-ECOLEX; SRC-FAOLEX,https://www.ecolex.org/ | https://www.fao.org/faolex/en/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
5,Building Supply Retail,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
6,Business Services,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
6,Business Services,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
6,Business Services,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
6,Business Services,PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification",SRC-GPA; SRC-IAPP-PRIVACY-DIR; SRC-EDPB,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/ | https://iapp.org/resources/global-privacy-directory | https://www.edpb.europa.eu/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
6,Business Services,CYBER,Cybersecurity & digital resilience,Cybersecurity agency; communications regulator; sector regulator,"Security controls, incident reporting, critical infrastructure",SRC-ITU; SRC-ITU-DIR,https://www.itu.int/ | https://www.itu.int/GlobalDirectory/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
6,Business Services,PROC,Government procurement & grants,Procurement authority; treasury; anti-corruption body,"Bid eligibility, contract clauses, debarment",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
6,Business Services,COMP,Competition / antitrust,Competition authority; antitrust agency,"Merger control, cartels, abuse of dominance",SRC-ICN,https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
7,Consulting,PROF,Professional services licensing,Bar association; accountancy board; professional regulator,Professional licenses and ethics,SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
7,Consulting,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
7,Consulting,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
7,Consulting,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
7,Consulting,PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification",SRC-GPA; SRC-IAPP-PRIVACY-DIR; SRC-EDPB,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/ | https://iapp.org/resources/global-privacy-directory | https://www.edpb.europa.eu/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
7,Consulting,PROC,Government procurement & grants,Procurement authority; treasury; anti-corruption body,"Bid eligibility, contract clauses, debarment",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
8,Consumer Services,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
8,Consumer Services,PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification",SRC-GPA; SRC-IAPP-PRIVACY-DIR; SRC-EDPB,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/ | https://iapp.org/resources/global-privacy-directory | https://www.edpb.europa.eu/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
8,Consumer Services,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
8,Consumer Services,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
8,Consumer Services,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
9,"Design, Direction and Creative Management",PROF,Professional services licensing,Bar association; accountancy board; professional regulator,Professional licenses and ethics,SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
9,"Design, Direction and Creative Management",CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
9,"Design, Direction and Creative Management",TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
9,"Design, Direction and Creative Management",LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
9,"Design, Direction and Creative Management",PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification",SRC-GPA; SRC-IAPP-PRIVACY-DIR; SRC-EDPB,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/ | https://iapp.org/resources/global-privacy-directory | https://www.edpb.europa.eu/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
9,"Design, Direction and Creative Management",CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
10,"Distributors, Dispatchers and Processors",TRADE,"Trade, sanctions & export controls",Trade ministry; customs; export-control authority; sanctions office,"Export/import restrictions, sanctions screening",SRC-WTO-DATA; SRC-WCO; SRC-UNCTAD-DATA,https://data.wto.org/ | https://www.wcoomd.org/en.aspx | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
10,"Distributors, Dispatchers and Processors",TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
10,"Distributors, Dispatchers and Processors",TRAN,Transportation & logistics,Transport ministry; aviation/maritime/rail/road authorities,"Transport safety, carrier licensing, logistics compliance",SRC-ICAO; SRC-FAA-INTL-CIVIL-AUTH; SRC-IMO,https://www.icao.int/about-icao/member-states | https://www.faa.gov/aircraft/air_cert/international/bilateral_agreements/link_intl_sites/civil_avi_auth | https://www.imo.org/en/ourwork/ero/pages/memberstates.aspx,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
10,"Distributors, Dispatchers and Processors",LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
10,"Distributors, Dispatchers and Processors",CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
10,"Distributors, Dispatchers and Processors",CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
11,Doctor's Offices and Clinics,HEALTH,"Healthcare, medical products & public health",Health ministry; medical product regulator; public health agency,"Healthcare delivery, medical devices, drugs, patient safety",SRC-WHO-WLA,https://www.who.int/initiatives/who-listed-authority-reg-authorities,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
11,Doctor's Offices and Clinics,PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification",SRC-GPA; SRC-IAPP-PRIVACY-DIR; SRC-EDPB,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/ | https://iapp.org/resources/global-privacy-directory | https://www.edpb.europa.eu/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
11,Doctor's Offices and Clinics,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
11,Doctor's Offices and Clinics,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
11,Doctor's Offices and Clinics,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
11,Doctor's Offices and Clinics,PROF,Professional services licensing,Bar association; accountancy board; professional regulator,Professional licenses and ethics,SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
12,Durable Manufacturing,ENV,"Environment, climate & natural resources",Environmental protection agency; natural resources ministry,"Environmental permits, emissions, water, waste, mining",SRC-ECOLEX; SRC-FAOLEX,https://www.ecolex.org/ | https://www.fao.org/faolex/en/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
12,Durable Manufacturing,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
12,Durable Manufacturing,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
12,Durable Manufacturing,TRADE,"Trade, sanctions & export controls",Trade ministry; customs; export-control authority; sanctions office,"Export/import restrictions, sanctions screening",SRC-WTO-DATA; SRC-WCO; SRC-UNCTAD-DATA,https://data.wto.org/ | https://www.wcoomd.org/en.aspx | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
12,Durable Manufacturing,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
12,Durable Manufacturing,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
13,Eating and Drinking Places,FOOD,"Food, beverage & agriculture",Food safety agency; agriculture ministry,"Food safety, labeling, agrifood, animal/plant health",SRC-FAOLEX,https://www.fao.org/faolex/en/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
13,Eating and Drinking Places,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
13,Eating and Drinking Places,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
13,Eating and Drinking Places,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
13,Eating and Drinking Places,REAL,"Real estate, construction & zoning",Land registry; housing ministry; building authority,"Licenses, zoning, property, construction codes",SRC-WB-GIRG,https://rulemaking.worldbank.org/en/rulemaking,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
13,Eating and Drinking Places,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
14,Entertainment Retail,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
14,Entertainment Retail,TELCO,"Telecommunications, media & broadcasting",Telecom/media regulator; communications ministry,"Licensing, spectrum, broadcasting, content rules",SRC-ITU; SRC-ITU-DIR,https://www.itu.int/ | https://www.itu.int/GlobalDirectory/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
14,Entertainment Retail,PRIV,Data protection & privacy,Data protection authority; privacy commissioner,"Personal data, privacy notices, breach notification",SRC-GPA; SRC-IAPP-PRIVACY-DIR; SRC-EDPB,https://globalprivacyassembly.com/participation-in-the-assembly/list-of-accredited-members/ | https://iapp.org/resources/global-privacy-directory | https://www.edpb.europa.eu/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
14,Entertainment Retail,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
14,Entertainment Retail,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
14,Entertainment Retail,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
15,Equipment Rental and Leasing,CONS,"Consumer protection, advertising & product safety",Consumer protection authority; product safety regulator,"Marketing, consumer rights, product recalls, warranties",SRC-WB-GIRG; SRC-ICN,https://rulemaking.worldbank.org/en/rulemaking | https://www.internationalcompetitionnetwork.org/members/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
15,Equipment Rental and Leasing,TAX,"Tax, revenue & customs",Tax authority; revenue service; customs administration,"Tax registrations, VAT/GST, customs/import/export",SRC-WCO; SRC-WTO-DATA,https://www.wcoomd.org/en.aspx | https://data.wto.org/,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
15,Equipment Rental and Leasing,LAB,"Labor, employment & workplace safety",Labor ministry; employment standards agency; OSH authority,"Employment, worker safety, social security",SRC-ILO-DATA,https://www.ilo.org/data-and-statistics,High,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
15,Equipment Rental and Leasing,CORP,Corporate registration & company law,Companies registry; commerce ministry; secretary of state,"Business registration, beneficial ownership, annual filings",SRC-WB-GIRG; SRC-UNCTAD-DATA,https://rulemaking.worldbank.org/en/rulemaking | https://unctadstat.unctad.org/,Medium,Create one or more Industry Regulation Mapping rows per operating country/territory and regulator/law.
